Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
58,Kishani Farahani and Goldansaz 2013 EUR J ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Apanteles myeloenta,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Lepidoptera,Locust bean moth,Ectomyelois ceratoniae,3rd instar,Raw data,N,,25.0,,1,38.48,769.69,1.56E+01,Alternate family length,Family,1.69E+00,% adult mass,,m^2.5 per pred per day,58,0.92,4.09E-02,3.59E-02,4.71E-02,1.15E-02,6.79E-03,1.55E-02,200,,
59,Moayeri et al 2013 EUR J ENTOMOL,Par,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,Mean,N,,17.0,,1,63.62,,1.03E+00,Alternate genus length,Family,1.47E-01,% adult mass,,m^2 per pred per day,59,0.63,5.82E-03,4.66E-03,7.24E-03,6.94E-02,5.77E-02,8.50E-02,200,,
60,Moayeri et al 2013 EUR J ENTOMOL,Par,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,Mean,N,,25.0,,1,63.62,,1.03E+00,Alternate genus length,Family,1.47E-01,% adult mass,,m^2 per pred per day,60,0.77,5.38E-03,4.55E-03,6.20E-03,4.09E-02,3.03E-02,5.00E-02,200,,
61,Moayeri et al 2013 EUR J ENTOMOL,Par,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Diaeretiella rapae,"Adult (1d old, mated, naïve)",Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,2nd instar,Mean,N,,30.0,,1,63.62,,1.03E+00,Alternate genus length,Family,1.47E-01,% adult mass,,m^2 per pred per day,61,0.73,5.68E-03,4.75E-03,7.02E-03,5.01E-02,3.89E-02,6.40E-02,200,,
62,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta stigmatias,Adult,Mean,N,24,,,2,103.87,1454.16,1.43E+02,Alternate species length,Order,2.97E+00,Alternate species length,Order,m^2.5 per pred per day,62,0.54,8.62E-03,5.28E-03,1.35E-02,1.18E-01,5.48E-02,1.70E-01,200,2D arena size is SA of arena,
63,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta eluta,Adult,Mean,N,24,,,2,103.87,1454.16,1.43E+02,Alternate species length,Order,2.97E+00,Alternate genus length,Order,m^2.5 per pred per day,63,0.57,8.36E-03,5.11E-03,1.38E-02,1.08E-01,4.44E-02,1.68E-01,200,2D arena size is SA of arena,
64,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Male,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta annonae,Adult,Mean,N,24,,,2,103.87,1454.16,1.43E+02,Alternate species length,Order,2.97E+00,Alternate species length,Order,m^2.5 per pred per day,64,0.58,8.03E-03,5.20E-03,1.41E-02,1.02E-01,3.23E-02,1.59E-01,200,2D arena size is SA of arena,
65,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta stigmatias,Adult,Mean,N,24,,,2,103.87,1454.16,2.12E+02,Alternate species length,Order,2.97E+00,Alternate species length,Order,m^2.5 per pred per day,65,0.61,7.91E-03,5.37E-03,1.31E-02,8.55E-02,2.82E-02,1.44E-01,200,2D arena size is SA of arena,
66,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta eluta,Adult,Mean,N,24,,,2,103.87,1454.16,2.12E+02,Alternate species length,Order,2.97E+00,Alternate genus length,Order,m^2.5 per pred per day,66,0.58,8.48E-03,5.10E-03,1.30E-02,9.66E-02,3.45E-02,1.42E-01,200,2D arena size is SA of arena,
67,Kalsi et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Zelus longipes,Female,Metazoan,Invertebrate,Insect,Diptera,Picture-winged fly,Euxesta annonae,Adult,Mean,N,24,,,2,103.87,1454.16,2.12E+02,Alternate species length,Order,2.97E+00,Alternate species length,Order,m^2.5 per pred per day,67,0.58,8.16E-03,5.33E-03,1.30E-02,9.46E-02,3.92E-02,1.46E-01,200,2D arena size is SA of arena,
68,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Dicyphus tamaninii ,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,Mean,N,24,25.0,,1,38.48,,7.56E+00,Alternate family length,Family,1.15E-02,Original length,Order,m^2 per pred per day,68,0.55,1.52E-02,1.03E-02,2.25E-02,1.52E-02,9.43E-03,2.04E-02,200,Prey length includes antennae,
69,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,Mean,N,24,25.0,,1,38.48,,2.24E+00,Alternate species length,Family,1.15E-02,Original length,Order,m^2 per pred per day,69,0.24,1.95E-02,1.14E-02,3.17E-02,4.88E-02,3.87E-02,6.22E-02,200,Prey length includes antennae,
70,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius majusculus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,Mean,N,24,25.0,,1,38.48,,6.61E-01,Alternate species length,Order,1.15E-02,Original length,Order,m^2 per pred per day,70,0.58,2.56E-02,2.01E-02,3.06E-02,2.82E-02,2.34E-02,3.31E-02,200,Prey length includes antennae,
71,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius laevigatus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Homoptera,Greenhouse whitefly,Trialeurodes vaporariorum,Pupa,Mean,N,24,25.0,,1,38.48,,2.01E-01,Alternate species length,Order,1.15E-02,Original length,Order,m^2 per pred per day,71,0.30,2.27E-02,1.29E-02,3.85E-02,5.83E-02,4.76E-02,6.88E-02,200,Prey length includes antennae,
72,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Dicyphus tamaninii ,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,38.48,,7.56E+00,Alternate family length,Family,4.17E-02,Original length,Order,m^2 per pred per day,72,0.62,1.01E-02,7.06E-03,1.43E-02,8.87E-03,3.65E-03,1.47E-02,200,,
73,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Macrolophus caliginosus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,38.48,,2.24E+00,Alternate species length,Family,4.17E-02,Original length,Order,m^2 per pred per day,73,0.45,1.26E-02,8.43E-03,1.86E-02,1.57E-02,8.31E-03,2.46E-02,200,,
74,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius majusculus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,38.48,,6.61E-01,Alternate species length,Order,4.17E-02,Original length,Order,m^2 per pred per day,74,0.79,2.12E-02,1.73E-02,2.91E-02,1.14E-02,9.40E-03,1.43E-02,200,,
75,Montserrat et al 2000 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius laevigatus,Adult female (13-16d old),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,2nd instar,Mean,N,24,25.0,,1,38.48,,2.01E-01,Alternate species length,Order,4.17E-02,Original length,Order,m^2 per pred per day,75,0.82,1.66E-02,1.21E-02,2.13E-02,9.87E-03,4.78E-03,1.29E-02,200,,
76,Heimpel and Gough-Goldstein 1994 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Perillus bioculatus,5th instar,Metazoan,Invertebrate,Insect,Coleoptera,Colorado potato beetle,Leptinotarsa decemlineata,Larva (neonate),Mean,N,,27.5,,1,102.07,3062.11,,,,7.33E+01,Alternate species length,Family,m^2.5 per pred per day,76,0.46,9.07E-02,4.56E-02,1.64E-01,1.40E-02,1.03E-02,1.72E-02,200,,
77,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female protonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,77,0.24,1.46E-04,7.17E-05,6.34E-04,1.10E+00,2.11E-01,2.36E+00,200,Used cucumber leaf discs,
78,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male protonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,78,0.14,4.59E-04,2.04E-04,1.43E-03,2.55E+00,1.55E+00,3.60E+00,200,Used cucumber leaf discs,
79,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female deutonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,79,0.31,1.01E-03,5.52E-04,1.84E-03,1.52E-01,3.34E-02,2.46E-01,200,Used cucumber leaf discs,
80,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male deutonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,80,0.24,2.66E-04,1.80E-04,4.80E-04,7.17E-01,5.29E-01,1.02E+00,200,Used cucumber leaf discs,
81,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult male,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,81,0.37,1.25E-04,9.74E-05,3.02E-04,8.19E-02,2.06E-10,1.15E+00,200,Used cucumber leaf discs,
82,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (mated),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,82,0.30,1.86E-03,9.37E-04,4.28E-03,6.76E-02,4.15E-10,1.39E-01,200,Used cucumber leaf discs,
83,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (unmated),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,83,0.34,1.57E-03,7.71E-04,2.84E-03,8.31E-02,4.97E-03,1.43E-01,200,Used cucumber leaf discs,
84,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female protonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,84,0.54,1.93E-04,1.30E-04,2.95E-04,2.21E-01,1.30E-09,4.88E-01,200,Used sweet pepper leaf discs,
85,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male protonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,85,0.33,1.31E-04,6.73E-05,3.58E-04,9.65E-01,1.07E-01,1.85E+00,200,Used sweet pepper leaf discs,
86,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Female deutonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,86,0.27,1.55E-03,9.90E-04,2.36E-03,2.62E-01,1.97E-01,3.40E-01,200,Used sweet pepper leaf discs,
87,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Male deutonymph,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,,,,,,,m^2 per pred per day,87,0.07,1.29E-03,4.37E-04,5.99E-03,1.26E+00,9.69E-01,1.56E+00,200,Used sweet pepper leaf discs,
88,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult male,Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,88,0.28,1.69E-04,1.31E-04,2.18E-04,2.65E-10,1.97E-10,7.66E-10,200,Used sweet pepper leaf discs,
89,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (mated),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,89,0.41,1.77E-03,1.13E-03,3.00E-03,2.66E-02,2.08E-11,6.60E-02,200,Used sweet pepper leaf discs,
90,Shipp and Whitfield 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Amblyseius cucumeris,Adult female (unmated),Metazoan,Invertebrate,Insect,Thysanoptera,Western flower thrip,Frankliniella occidentalis,1st instar,Mean,N,,26.0,,1,12.57,,2.82E-02,Original length,Order,,,,m^2 per pred per day,90,0.35,1.89E-03,1.08E-03,3.44E-03,4.72E-02,1.86E-11,9.92E-02,200,Used sweet pepper leaf discs,
91,Wiedenmann and O'neil 1991 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Podisus maculiventris,Adult female (7-30d old),Metazoan,Invertebrate,Insect,Coleoptera,Mexican bean beetle,Epilachna varivestis,3rd instar,Mean,N,24,23.0,,1,63.62,,7.58E+01,Alternate species length,Family,1.12E+01,Original mass,,m^2 per pred per day,91,0.89,7.34E-03,5.20E-03,9.48E-03,5.57E-02,1.58E-02,8.46E-02,200,,
92,Flinn 1991 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,Mean,N,,20.0,,1,38.48,519.54,2.24E-01,Alternate species length,Order,,,,m^2.5 per pred per day,92,0.90,6.88E-03,5.76E-03,1.18E-02,1.50E-09,2.94E-11,6.24E-03,200,,
93,Flinn 1991 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,Mean,N,,25.0,,1,38.48,519.54,2.24E-01,Alternate species length,Order,,,,m^2.5 per pred per day,93,0.94,6.34E-03,5.97E-03,1.05E-02,1.37E-10,1.35E-11,4.14E-03,200,,
94,Flinn 1991 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,Mean,N,,30.0,,1,38.48,519.54,2.24E-01,Alternate species length,Order,,,,m^2.5 per pred per day,94,0.96,6.23E-03,5.75E-03,6.84E-03,1.02E-10,2.48E-11,9.19E-10,200,,
95,Flinn 1991 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,Mean,N,,35.0,,1,38.48,519.54,2.24E-01,Alternate species length,Order,,,,m^2.5 per pred per day,95,0.92,6.44E-03,5.86E-03,1.01E-02,1.87E-10,2.81E-11,4.59E-03,200,,
96,Flinn 1991 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Cephalonomia waterstoni,"Adult female (5d old, experienced)",Metazoan,Invertebrate,Insect,Coleoptera,Rusty grain beetle,Cryptolestes ferrugineus,4th instar,Mean,N,,38.0,,1,38.48,519.54,2.24E-01,Alternate species length,Order,,,,m^2.5 per pred per day,96,0.95,6.27E-03,5.75E-03,8.22E-03,1.12E-10,3.05E-11,3.65E-03,200,,
97,Dor et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Vertebrate,Reptile,,Norops serranoi,Adult male (wild caught),Metazoan,Invertebrate,Insect,Diptera,Mexican fruit fly,Anastrepha ludens,Adult (3-18d old),Raw data,N,,26.0,,1,900.00,27000.00,1.68E+04,Alternate species mass,,1.79E+01,Alternate species length,Order,m^2.5 per pred per day,97,0.30,2.32E-01,1.41E-01,4.03E-01,5.64E-03,2.40E-09,1.08E-02,200,,
98,Dor et al 2014 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Vertebrate,Reptile,,Norops serranoi,Adult female (wild caught),Metazoan,Invertebrate,Insect,Diptera,Mexican fruit fly,Anastrepha ludens,Adult (3-18d old),Raw data,N,,26.0,,1,900.00,27000.00,1.68E+04,Alternate species mass,,1.79E+01,Alternate species length,Order,m^2.5 per pred per day,98,0.40,4.99E-01,2.64E-01,2.66E+00,4.27E-03,8.57E-04,7.67E-03,200,,
99,Chow et al 1983 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",Mean,Y,24,15.0,,1,530.00,,1.31E+00,Alternate species length,Order,2.05E-01,Average species mass,,m^2 per pred per day,99,0.73,1.92E-01,1.87E-01,1.98E-01,6.45E-02,6.31E-02,6.61E-02,200,,
100,Chow et al 1983 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",Mean,Y,24,25.0,,1,530.00,,1.31E+00,Alternate species length,Order,2.05E-01,Average species mass,,m^2 per pred per day,100,0.99,1.83E-01,1.77E-01,1.89E-01,1.55E-02,1.50E-02,1.62E-02,200,,
101,Chow et al 1983 ENVIRON ENTOMOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Geocoris bullatus,Adult female (wild caught),Metazoan,Invertebrate,Insect,Hemiptera,Western tarnished plant bug and Pale legume bug,Lygus hesperus and Lygus elisus,"1st, 2nd, 3rd instar",Mean,Y,24,35.0,,1,530.00,,1.31E+00,Alternate species length,Order,2.05E-01,Average species mass,,m^2 per pred per day,101,0.97,6.18E-01,6.08E-01,6.26E-01,1.06E-02,1.05E-02,1.08E-02,200,,
102,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,4.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,102,0.07,1.71E-04,5.54E-05,2.19E-03,2.91E-07,6.32E-09,1.70E+00,200,,
103,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,6.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,103,0.12,3.86E-04,1.20E-04,4.87E-03,8.94E-08,4.49E-09,3.55E-01,200,,
104,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,8.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,104,0.17,8.01E-04,3.80E-04,1.88E-03,2.37E-08,1.28E-09,1.57E-01,200,,
105,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,10.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,105,0.14,8.61E-04,3.89E-04,2.57E-03,4.45E-02,8.23E-09,1.88E-01,200,,
106,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,12.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,106,0.12,8.01E-04,3.13E-04,1.61E-03,1.21E-07,2.15E-09,1.24E-01,200,,
107,Jones et al 2007 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Lysiphlebus testaceipes,"Adult female (mated, naïve, <24h old)",Metazoan,Invertebrate,Insect,Hemiptera,Greenbug,Schizaphis graminum,"2nd, 3rd instar",Raw data,N,,14.0,,1,19.63,589.05,1.03E+00,Alternate species length,Family,1.03E-01,Average species mass,,m^2.5 per pred per day,107,0.15,9.60E-04,5.01E-04,4.38E-03,2.33E-08,2.01E-09,1.19E-01,200,,
108,Frewin et al 2010 ENVIRON ENTOMOL,Par,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Hymenoptera,Aphelinus certus,"Adult female (mated, naïve, 24-48h old)",Metazoan,Invertebrate,Insect,Hemiptera,Soybean aphid,Aphis glycines,3rd instar,Mean,N,,26.0,,1,78.54,628.32,1.26E+02,Alternate order length,Order,7.67E-02,% adult mass,,m^2.5 per pred per day,108,0.63,3.21E-03,2.38E-03,4.03E-03,3.91E-02,2.89E-02,4.93E-02,200,,
109,Trichilo and Leigh 1986 ENVIRON ENTOMOL,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Thysanoptera,Frankliniella occidentalis,Adult female,Metazoan,Invertebrate,Arachnid,Mite,Spider mite,Tetranychus spp,Egg (webbing removed),Mean,N,,27.0,,1,3.00,,,,,1.70E-03,Average genus mass,,m^2.5 per pred per day,109,0.91,3.29E-05,2.17E-05,4.88E-05,3.97E-02,2.75E-02,5.80E-02,200,,
